Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
935114,0MFL20L,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G08256,Finance (including NBFCs),Debentures and Bonds
935116,11MML2018A,Midland Microfin Ltd,Active,F ,10000,INE884Q07012,Finance (including NBFCs),Debentures and Bonds
935118,11MML2018B,Midland Microfin Ltd,Active,F ,10000,INE884Q07046,Finance (including NBFCs),Debentures and Bonds
935120,115MML2020C,Midland Microfin Ltd,Active,F ,10000,INE884Q07020,Finance (including NBFCs),Debentures and Bonds
935122,115MML2020D,Midland Microfin Ltd,Active,F ,10000,INE884Q07053,Finance (including NBFCs),Debentures and Bonds
935124,12MML2024E,Midland Microfin Ltd,Active,F ,10000,INE884Q07038,Finance (including NBFCs),Debentures and Bonds
935126,12MML2024F,Midland Microfin Ltd,Active,F ,10000,INE884Q07061,Finance (including NBFCs),Debentures and Bonds
935128,985STFC17,Shriram Transport Finance Co Ltd,Active,F ,1000,INE721A07HH0,Finance (including NBFCs),Debentures and Bonds
935130,10STFC19,Shriram Transport Finance Co Ltd,Active,F ,1000,INE721A07HI8,Finance (including NBFCs),Debentures and Bonds
935132,1015STFC21,Shriram Transport Finance Co Ltd,Active,F ,1000,INE721A07HJ6,Finance (including NBFCs),Debentures and Bonds
935134,957STFC19,Shriram Transport Finance Co Ltd,Active,F ,1000,INE721A07HK4,Finance (including NBFCs),Debentures and Bonds
935136,971STFC21,Shriram Transport Finance Co Ltd,Active,F ,1000,INE721A07HL2,Finance (including NBFCs),Debentures and Bonds
935138,0STFC2017,Shriram Transport Finance Co Ltd,Active,F ,1000,INE721A07HM0,Finance (including NBFCs),Debentures and Bonds
935140,0STFC2019,Shriram Transport Finance Co Ltd,Active,F ,1000,INE721A07HN8,Finance (including NBFCs),Debentures and Bonds
935142,0STFC2021,Shriram Transport Finance Co Ltd,Active,F ,1000,INE721A07HO6,Finance (including NBFCs),Debentures and Bonds
935146,1175MFL17II,MUTHOOT FINCORP Ltd,Active,F ,1000,INE549K07105,Finance (including NBFCs),Debentures and Bonds
935148,1125MFL19,MUTHOOT FINCORP Ltd,Active,F ,1000,INE549K07113,Finance (including NBFCs),Debentures and Bonds
935152,12MFL17,MUTHOOT FINCORP Ltd,Active,F ,1000,INE549K07139,Finance (including NBFCs),Debentures and Bonds
935154,1075MFL19A,MUTHOOT FINCORP Ltd,Active,F ,1000,INE549K07147,Finance (including NBFCs),Debentures and Bonds
935160,12MFL17A,MUTHOOT FINCORP Ltd,Active,F ,1000,INE549K07170,Finance (including NBFCs),Debentures and Bonds
935162,1175MFL19,MUTHOOT FINCORP Ltd,Active,F ,1000,INE549K07188,Finance (including NBFCs),Debentures and Bonds
935168,1250MMFL17A,Muthoottu Mini Financiers Ltd,Active,F ,1000,INE101Q07110,Financial Institutions,Debentures and Bonds
935170,13MMFL2017,Muthoottu Mini Financiers Ltd,Active,F ,1000,INE101Q07128,Financial Institutions,Debentures and Bonds
935172,0MMFL17,Muthoottu Mini Financiers Ltd,Active,F ,1000,INE101Q07136,Financial Institutions,Debentures and Bonds
935174,0MMFL20,Muthoottu Mini Financiers Ltd,Active,F ,1000,INE101Q08019,Financial Institutions,Debentures and Bonds
935184,1250KFL17,Kosamattam Finance Ltd,Active,F ,1000,INE403Q07128,Finance (including NBFCs),Debentures and Bonds
935186,0KFL2017,Kosamattam Finance Ltd,Active,F ,1000,INE403Q07136,Finance (including NBFCs),Debentures and Bonds
935188,0KFL2020,Kosamattam Finance Ltd,Active,F ,1000,INE403Q07144,Finance (including NBFCs),Debentures and Bonds
935190,125DSK2017,DSKulkarni Developers Ltd,Active,F ,5000,INE891A07011,Realty,Debentures and Bonds
935192,0DSK2020,DSKulkarni Developers Ltd,Active,F ,5000,INE891A07037,Realty,Debentures and Bonds
935194,1265DSK2020,DSKulkarni Developers Ltd,Active,F ,25000,INE891A07045,Realty,Debentures and Bonds
935196,1275DSK2021,DSKulkarni Developers Ltd,Active,F ,5000,INE891A07029,Realty,Debentures and Bonds
935200,105MFL17,MUTHOOT FINANCE Ltd,Active,F ,1000,INE414G07761,Finance (including NBFCs),Debentures and Bonds
